[0.86202277088628498, 0.80516855235614471]
[0.55233743283760495, 1.0350421442536142]
[0.95424797442268872, -0.62330806805400329]
[2.2719747633797645, 3.3045857648777046]
[2.255608681975513, -0.096513587518258268]
[2.6520686294899436, 1.586010849546224]
[-0.01622212812686108, -1.3465157173386442]
[0.18639118636064, 2.3411043985809266]
[-1.0471439600704211, -1.353538340934622]
[2.5172185349431788, 1.7687335606295478]
[1.6793299179596888, -1.3334801935979004]
[1.9512730963601443, 1.3874843110739754]
[0.52588423343171486, -1.0587839565675932]
[2.1179293731602145, -0.87785107383204197]
[1.0705427657206907, 0.0096199119507921742]
[1.8907279978132512, 2.0035254809050409]
[-0.4404823896832587, 0.53780180526545895]
[2.5653839602075448, 3.8227324738889674]
[0.30010957261627491, -0.7647873873506299]
[0.76824717753006055, 1.5942465135332462]
[-0.431328483700541, 1.9388982550965419]
[2.5540967869454683, 1.1992992649493415]
[0.37148505734831277, 1.2025211232560427]
[2.1290569580039693, 0.47847008179639872]
[-2.4379255646397069, -0.69575895147145506]
[1.5376898122534763, 2.8137608965091703]
[-1.1749774039186967, -1.0197130618962591]
[2.9681976874085314, 2.6855439749287737]
[-0.29403310222297235, -1.4800415067506572]
[2.2816129526950109, 1.2765693532296205]
[-0.514531256492753, 0.32947185902502807]
[1.674924823495866, 1.5043502576394214]
[0.38058726656808173, 0.40646921620697668]
[2.0491649860868746, 2.6720531354077934]
[-0.48757566560982507, 1.4009912553888459]
[0.79441953751176442, 0.99385883417332077]
[-1.3615207304027586, -0.92404145529888371]
[2.4881370555845543, 1.3855142608529334]
[2.0546152786807195, 0.18258176313311217]
[1.950177723963832, 3.3439585518078672]
[-0.26964935862378142, 0.1430010014379737]
[1.7688572890526082, 1.7642846843277658]
[-0.72326599847529471, 0.27200571286707564]
[1.7058357113229077, 0.27476255765809832]
[-1.2760257826787724, -1.394420751531219]
[1.7713583915731952, 3.4457938625159228]
[1.6083144120894208, 1.0842849412516906]
[1.3087590731871221, 1.4884384850911001]
[-0.0077225752644869815, -0.65452793754794003]
[1.9022923518893893, 3.0624843686991525]
[-0.23381117912962107, 0.69603728082241367]
[1.8297094838755599, 1.8035338866880408]
[-0.75921831181624466, 0.15429010885627012]
[3.1204164778920092, 2.2693186881090912]
[-0.24678080466026733, 0.77376054653521276]
[3.076750245551632, 2.4368442868400639]
[0.3968336420483366, -0.81779948306421746]
[2.8233020455434414, 3.056057854089528]
[0.10516792121197875, -0.28457322733250373]
[2.2384227734857789, 3.5322620851908177]
[1.2130171839301296, 0.37991213112516553]
[2.2225578827678873, 3.2252511613879808]
[-1.3236953148586617, 2.0821898392859119]
